id,lang,path,sr,text
0001,en,en/1.wav,16000,"IT WILL NOT BE SAFE FOR YOU TO STAY HERE NOW"
0002,en,en/2.wav,16000,"IT WILL BE NO DISAPPOINTMENT TO ME"
0003,en,en/3.wav,16000,"HOWEVER THAT WAS OVER NOW THE TREE GONE THE STORY AT AN END"
0004,en,en/4.wav,16000,"ALL IS SAID WITHOUT A WORD"
0005,en,en/5.wav,16000,"IT IS THIS THAT IS OF INTEREST TO THEORY OF KNOWLEDGE"
0006,es,es/6.wav,16000,"HABITA EN AGUAS POCO PROFUNDAS Y ROCOSAS."
0007,es,es/7.wav,16000,"LAS GUITARRAS SIGUEN EL MISMO CONCEPTO."
0008,es,es/8.wav,16000,"ESTA PALOMA ES CONOCIDA SOLAMENTE POR RESTOS FóSILES."
0009,ja,ja/9.wav,16000,"彼女は頬をふくらませた。"
0010,ja,ja/10.wav,16000,"両手の指は変形し、関節の辺りが、こぶ状に盛り上がっていた。"
0011,ja,ja/11.wav,16000,"去年より今年のほうが暑いです。"
0012,zh,zh/12.wav,16000,"星光在微白的天空闪烁"
0013,zh,zh/13.wav,16000,"欢迎有兴趣的青年朋友"
0014,zh,zh/14.wav,16000,"整个下午依然哭个不停"
